dataset,model,condition,seed,is_safe,is_unsafe,max_ratio_window,step_of_max,first_step_ratio,first_step_unsafe_ratio,source_member
ag_news,large-6,buggy_failfast_guard,42,False,True,11.004383542847531,1,11.004383542847531,11.004383542847531,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed42_early_logs.json
ag_news,large-6,buggy_failfast_guard,123,False,True,10.991920611163897,1,10.991920611163897,10.991920611163897,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed123_early_logs.json
ag_news,large-6,buggy_failfast_guard,456,False,True,10.998500859253104,1,10.998500859253104,10.998500859253104,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed456_early_logs.json
ag_news,large-6,buggy_no_guard,42,False,True,11.004383542847531,1,11.004383542847531,11.004383542847531,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed42_early_logs.json
ag_news,large-6,buggy_no_guard,123,False,True,10.991920611163897,1,10.991920611163897,10.991920611163897,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed123_early_logs.json
ag_news,large-6,buggy_no_guard,456,False,True,10.998500859253104,1,10.998500859253104,10.998500859253104,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed456_early_logs.json
ag_news,large-6,buggy_rescue_guard,42,False,True,2.6905663960503677e-05,98,9.61532820572548e-07,11.004383542847531,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed42_early_logs.json
ag_news,large-6,buggy_rescue_guard,123,False,True,2.9652508154536695e-05,95,9.604655882930696e-07,10.991920611163897,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed123_early_logs.json
ag_news,large-6,buggy_rescue_guard,456,False,True,2.9916945415143646e-05,90,9.610238083566576e-07,10.998500859253104,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed456_early_logs.json
ag_news,large-6,fixed_order_with_guard,42,True,False,2.7191716259660003e-05,98,9.61532820572548e-07,9.61532820572548e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_fixed_order_with_guard_seed42_early_logs.json
ag_news,large-6,fixed_order_with_guard,123,True,False,2.988141056706598e-05,95,9.604655882930696e-07,9.604655882930696e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_fixed_order_with_guard_seed123_early_logs.json
ag_news,large-6,fixed_order_with_guard,456,True,False,3.0295997708220813e-05,90,9.610238083566576e-07,9.610238083566576e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_fixed_order_with_guard_seed456_early_logs.json
ag_news,large-6,single_bad_first_step_then_stable,42,False,True,11.004383542847531,1,11.004383542847531,11.004383542847531,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_single_bad_first_step_then_stable_seed42_early_logs.json
ag_news,large-6,single_bad_first_step_then_stable,123,False,True,10.991920611163897,1,10.991920611163897,10.991920611163897,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_single_bad_first_step_then_stable_seed123_early_logs.json
ag_news,large-6,single_bad_first_step_then_stable,456,False,True,10.998500859253104,1,10.998500859253104,10.998500859253104,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_single_bad_first_step_then_stable_seed456_early_logs.json
ag_news,large-6,stable_with_guard,42,True,False,6.041086107109573e-06,72,1.390434820568919e-07,1.390434820568919e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_stable_with_guard_seed42_early_logs.json
ag_news,large-6,stable_with_guard,123,True,False,8.386172977993751e-06,95,1.3889051406377457e-07,1.3889051406377457e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_stable_with_guard_seed123_early_logs.json
ag_news,large-6,stable_with_guard,456,True,False,5.258817755708815e-06,83,1.389659784180983e-07,1.389659784180983e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_stable_with_guard_seed456_early_logs.json
ag_news,medium-4,buggy_failfast_guard,42,False,True,5.100825329224488,1,5.100825329224488,5.100825329224488,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_failfast_guard_seed42_early_logs.json
ag_news,medium-4,buggy_failfast_guard,123,False,True,5.076113987968168,1,5.076113987968168,5.076113987968168,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_failfast_guard_seed123_early_logs.json
ag_news,medium-4,buggy_failfast_guard,456,False,True,5.095492677053694,1,5.095492677053694,5.095492677053694,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_failfast_guard_seed456_early_logs.json
ag_news,medium-4,buggy_no_guard,42,False,True,5.100825329224488,1,5.100825329224488,5.100825329224488,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_no_guard_seed42_early_logs.json
ag_news,medium-4,buggy_no_guard,123,False,True,5.076113987968168,1,5.076113987968168,5.076113987968168,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_no_guard_seed123_early_logs.json
ag_news,medium-4,buggy_no_guard,456,False,True,5.095492677053694,1,5.095492677053694,5.095492677053694,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_no_guard_seed456_early_logs.json
ag_news,medium-4,buggy_rescue_guard,42,False,True,2.3866468602137574e-05,100,6.313328298489665e-07,5.100825329224488,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_rescue_guard_seed42_early_logs.json
ag_news,medium-4,buggy_rescue_guard,123,False,True,2.3275953921658542e-05,92,6.282743546757413e-07,5.076113987968168,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_rescue_guard_seed123_early_logs.json
ag_news,medium-4,buggy_rescue_guard,456,False,True,2.473887655728375e-05,100,6.306796689501647e-07,5.095492677053694,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_rescue_guard_seed456_early_logs.json
ag_news,medium-4,fixed_order_with_guard,42,True,False,2.410690211239926e-05,100,6.313328298489665e-07,6.313328298489665e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_fixed_order_with_guard_seed42_early_logs.json
ag_news,medium-4,fixed_order_with_guard,123,True,False,2.3491459534874118e-05,92,6.282743546757413e-07,6.282743546757413e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_fixed_order_with_guard_seed123_early_logs.json
ag_news,medium-4,fixed_order_with_guard,456,True,False,2.4937129987906895e-05,100,6.306796689501647e-07,6.306796689501647e-07,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_fixed_order_with_guard_seed456_early_logs.json
ag_news,medium-4,single_bad_first_step_then_stable,42,False,True,5.100825329224488,1,5.100825329224488,5.100825329224488,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_single_bad_first_step_then_stable_seed42_early_logs.json
ag_news,medium-4,single_bad_first_step_then_stable,123,False,True,5.076113987968168,1,5.076113987968168,5.076113987968168,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_single_bad_first_step_then_stable_seed123_early_logs.json
ag_news,medium-4,single_bad_first_step_then_stable,456,False,True,5.095492677053694,1,5.095492677053694,5.095492677053694,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_single_bad_first_step_then_stable_seed456_early_logs.json
ag_news,medium-4,stable_with_guard,42,True,False,3.892266794283678e-06,100,6.65211715491729e-08,6.65211715491729e-08,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_stable_with_guard_seed42_early_logs.json
ag_news,medium-4,stable_with_guard,123,True,False,3.3673152125905815e-06,93,6.617386757028279e-08,6.617386757028279e-08,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_stable_with_guard_seed123_early_logs.json
