model,d_model,condition,role,schedule_family,timing,initial_optimizer_lr,step1_candidate_lr,step1_committed_lr,alpha_stable_step1,alpha_legacy_step1
medium-4,128,buggy_no_guard,Legacy/no-guard; member of clean order-only causal pair,legacy Transformer,install alpha_legacy(t) after candidate transition,1.0,1.0,1.0,1.2500000000000001e-08,1.2352647110032733e-07
medium-4,128,buggy_failfast_guard,Legacy schedule with post-candidate fail-fast diagnostic,legacy Transformer,candidate first; detect unsafe update after transition; stop,1.0,1.0,1.0,1.2500000000000001e-08,1.2352647110032733e-07
medium-4,128,buggy_rescue_guard,Legacy schedule with rollback-and-replay rescue,legacy Transformer,candidate first; on unsafe update restore state and replay with alpha_legacy(t),1.0,1.0,1.2352647110032733e-07,1.2500000000000001e-08,1.2352647110032733e-07
medium-4,128,stable_with_guard,Independent safe reference; not the order-only control,stable linear-warmup/cosine,install alpha_stable(t) before candidate transition,0.0001,1.2500000000000001e-08,1.2500000000000001e-08,1.2500000000000001e-08,1.2352647110032733e-07
medium-4,128,fixed_order_with_guard,Corrected member of clean order-only causal pair,legacy Transformer,install alpha_legacy(t) before candidate transition,1.0,1.2352647110032733e-07,1.2352647110032733e-07,1.2500000000000001e-08,1.2352647110032733e-07
medium-4,128,single_bad_first_step_then_stable,Single-impulse ablation,"one initial-LR transition, then stable schedule",commit step 1 at initial LR; install alpha_stable(t) before later transitions,1.0,1.0,1.0,1.2500000000000001e-08,1.2352647110032733e-07
large-6,256,buggy_no_guard,Legacy/no-guard; member of clean order-only causal pair,legacy Transformer,install alpha_legacy(t) after candidate transition,1.0,1.0,1.0,1.2500000000000001e-08,8.734640537108554e-08
large-6,256,buggy_failfast_guard,Legacy schedule with post-candidate fail-fast diagnostic,legacy Transformer,candidate first; detect unsafe update after transition; stop,1.0,1.0,1.0,1.2500000000000001e-08,8.734640537108554e-08
large-6,256,buggy_rescue_guard,Legacy schedule with rollback-and-replay rescue,legacy Transformer,candidate first; on unsafe update restore state and replay with alpha_legacy(t),1.0,1.0,8.734640537108554e-08,1.2500000000000001e-08,8.734640537108554e-08
large-6,256,stable_with_guard,Independent safe reference; not the order-only control,stable linear-warmup/cosine,install alpha_stable(t) before candidate transition,0.0001,1.2500000000000001e-08,1.2500000000000001e-08,1.2500000000000001e-08,8.734640537108554e-08
large-6,256,fixed_order_with_guard,Corrected member of clean order-only causal pair,legacy Transformer,install alpha_legacy(t) before candidate transition,1.0,8.734640537108554e-08,8.734640537108554e-08,1.2500000000000001e-08,8.734640537108554e-08
large-6,256,single_bad_first_step_then_stable,Single-impulse ablation,"one initial-LR transition, then stable schedule",commit step 1 at initial LR; install alpha_stable(t) before later transitions,1.0,1.0,1.0,1.2500000000000001e-08,8.734640537108554e-08
